id,requirement,clean
IOT_38,"The user should be informed in a recognizable and apparent manner that a security update is required
together with information on the risks mitigated by that update.","user inform recognizable apparent manner security update require 
 information risk mitigate update"
IOT_39,"EXAMPLE 11: The manufacturer informs the user that an update is required via a notification on a user interface
or via an email.","example 11 manufacturer inform user update require notification user interface 
 email"
IOT_40,"The user should be notified when the application of a software update will disrupt the basic
functioning of the consumer IoT device.","user notify application software update disrupt basic 
 functioning consumer iot device"
IOT_41,"The manufacturer shall publish, in an accessible way that is clear and transparent to the user, the
defined support period.","manufacturer shall publish accessible way clear transparent user 
 define support period"
IOT_42,"For consumer IoT devices that cannot have their software updated, the rationale for the absence of
software updates, the period and method of hardware replacement support should be published by the manufacturer in
an accessible way that is clear and transparent to the user.","consumer iot device software update rationale absence 
 software update period method hardware replacement support publish manufacturer 
 accessible way clear transparent user"
IOT_43,"A For devices that cannot have their software updated, the consumer IoT device should be isolable.",device software update consumer iot device isolable
IOT_44,"B For devices that cannot have their software updated, the consumer IoT device hardware should be
replaceable.","b device software update consumer iot device hardware 
 replaceable"
IOT_45,"The model designation of the consumer IoT device shall be clearly recognizable, either by labelling
on the consumer IoT device or via a user interface.","model designation consumer iot device shall clearly recognizable label 
 consumer iot device user interface"
IOT_46,"Knowledge of the specific designation of the consumer IoT device is often required to check the defined support period
of software updates or the availability of software updates.","knowledge specific designation consumer iot device require check define support period 
 software update availability software update"
IOT_47,"It is recommended that the IoT device is to be clearly recognizable by having both a
model designation and a unique privacy preserving per device identifier, either by labelling on the device or via a
physical and logical interface.","recommend iot device clearly recognizable have 
 model designation unique privacy preserve device identifi label device 
 physical logical interface"
IOT_48,Sensitive security parameters in persistent storage shall be stored securely by the consumer IoT device.,sensitive security parameter persistent storage shall store securely consumer iot device
IOT_49,"Where a hard-coded unique per device identity is used in a consumer IoT device for security purposes,
it shall be implemented in such a way that it resists tampering by means such as physical, electrical or software.","hard cod unique device identity consumer iot device security purpose 
 shall implement way resist tamper mean physical electrical software"
IOT_50,Hard-coded critical security parameters in consumer IoT device software source code shall not be used.,hard cod critical security parameter consumer iot device software source code shall
IOT_51,"Any critical security parameters used for integrity and authenticity checks of software updates and for
protection of communication with associated services in consumer IoT device software shall be unique per device and
shall be produced with a mechanism that reduces the risk of automated attacks against classes of consumer IoT devices.","critical security parameter integrity authenticity check software update 
 protection communication associate service consumer iot device software shall unique device 
 shall produce mechanism reduce risk automate attack class consumer iot device"
IOT_52,The consumer IoT device shall use best practice cryptography to communicate securely.,consumer iot device shall use good practice cryptography communicate securely
IOT_53,"The consumer IoT device should use reviewed or evaluated implementations to deliver network and
security functionalities, particularly in the field of cryptography.","consumer iot device use review evaluate implementation deliver network 
 security functionality particularly field cryptography"
IOT_54,Cryptographic algorithms and primitives should be replaceable.,cryptographic algorithm primitive replaceable
IOT_55,"For devices that cannot be updated, it is important that the intended lifetime of the device does not exceed the
recommended usage lifetime of cryptographic algorithms used by the device (including key sizes).","device update important intended lifetime device exceed 
 recommend usage lifetime cryptographic algorithm device include key size"
IOT_56,"Access to consumer IoT device functionality via a network interface in the initialized state should only
be possible after authentication on that interface.","access consumer iot device functionality network interface initialized state 
 possible authentication interface"
IOT_57,"Consumer IoT device functionality that allows security-relevant changes in configuration via a network
interface shall only be accessible after authentication.","consumer iot device functionality allow security relevant change configuration network 
 interface shall accessible authentication"
IOT_58,"The exception is for network service protocols that are relied
upon by the consumer IoT device and where the manufacturer cannot guarantee what configuration will be required for
the consumer IoT device to operate.","exception network service protocol rely 
 consumer iot device manufacturer guarantee configuration require 
 consumer iot device operate"
IOT_59,"Critical security parameters should be encrypted in transit, with such encryption appropriate to the
properties of the technology, risk and usage.","critical security parameter encrypt transit encryption appropriate 
 property technology risk usage"
IOT_60,"The consumer IoT device shall protect the confidentiality of critical security parameters that are
communicated via remotely accessible network interfaces.","consumer iot device shall protect confidentiality critical security parameter 
 communicate remotely accessible network interface"
IOT_61,"The manufacturer shall follow secure management processes for critical security parameters that relate
to the consumer IoT device and for the entire lifecycle of the critical security parameters.","manufacturer shall follow secure management process critical security parameter relate 
 consumer iot device entire lifecycle critical security parameter"
IOT_62,"All unused network interfaces and all unused logical interfaces that are accessible through a network
interface shall be disabled.","unused network interface unused logical interface accessible network 
 interface shall disable"
IOT_63,"These interfaces may have been used only during the development phase of the device and are no longer required for
normal operation, or may be specific to certain environments or purposes.","interface development phase device long require 
 normal operation specific certain environment purpose"
IOT_64,"However, users may have the ability to manually enable any disabled interface that is required for their specific usage.",user ability manually enable disabled interface require specific usage
IOT_65,"In the initialized state, the network interfaces of the consumer IoT device shall minimize the
unauthenticated disclosure of security-relevant information.","initialized state network interface consumer iot device shall minimize 
 unauthenticated disclosure security relevant information"
IOT_66,Consumer IoT device hardware should not unnecessarily expose physical interfaces to attack.,consumer iot device hardware unnecessarily expose physical interface attack
IOT_67,"A Debug interfaces shall be disabled or protected via a best practice authentication or access control
mechanism.","debug interface shall disable protect good practice authentication access control 
 mechanism"
IOT_68,"It
is to be impossible for the user of the consumer IoT device to enable any disabled debug interface that is not considered
to be required for the consumer IoT device's lifecycle.","
 impossible user consumer iot device enable disabled debug interface consider 
 require consumer iot device lifecycle"
IOT_69,"However, if the debug interface is intermittently required after
the consumer IoT device is being placed on the market, it would be enough if the interface is disabled in software by
default but can be enabled, when required.","debug interface intermittently require 
 consumer iot device place market interface disabled software 
 default enable require"
IOT_70,B Debug interfaces that are physical ports should be physically protected by the device.,b debug interface physical port physically protect device
IOT_71,"The manufacturer should only enable software services that are used or required for the intended use or
operation of the consumer IoT device.","manufacturer enable software service require intend use 
 operation consumer iot device"
IOT_72,"EXAMPLE 7: The manufacturer does not provision the consumer IoT device with any background processes,
kernel extensions, commands, programs or tools that are not required for the intended use.","example 7 manufacturer provision consumer iot device background process 
 kernel extension command program tool require intend use"
IOT_73,Code should be minimized to the functionality necessary for the consumer IoT device to operate.,code minimize functionality necessary consumer iot device operate
IOT_74,"Software should run with least necessary privileges, taking account of both security and functionality.",software run necessary privilege take account security functionality
IOT_75,The consumer IoT device should include a hardware-level access control mechanism for memory.,consumer iot device include hardware level access control mechanism memory
IOT_76,"The manufacturer should follow secure development processes for software deployed on the consumer
IoT device.","manufacturer follow secure development process software deploy consumer 
 iot device"
IOT_77,The consumer IoT device should verify its software using secure boot mechanisms.,consumer iot device verify software secure boot mechanism
IOT_78,"A hardware root of trust can be either backed by mechanisms used for secure storage of
credentials or other alternatives providing baseline levels of security assurance proportionate to the required level of
security for a given consumer IoT device.","hardware root trust back mechanism secure storage 
 credential alternative provide baseline level security assurance proportionate required level 
 security give consumer iot device"
IOT_79,"If an unauthorized change is detected to the software, the consumer IoT device should alert the user
and/or administrator to the issue and should not connect to wider networks than those necessary to perform the alerting
function.","unauthorized change detect software consumer iot device alert user 
 and/or administrator issue connect wide network necessary perform alerting 
 function"
IOT_80,"The confidentiality of personal data transiting between the consumer IoT device and associated
services should be protected with best practice cryptography, appropriate to the properties of the technology, operating
environment, risk and usage.","confidentiality personal datum transit consumer iot device associate 
 service protect good practice cryptography appropriate property technology operating 
 environment risk usage"
IOT_81,"The confidentiality of sensitive personal data communicated between the consumer IoT device and
associated services shall be protected with best practice cryptography, appropriate to the properties of the technology,
operating environment, risk and usage.","confidentiality sensitive personal datum communicate consumer iot device 
 associate service shall protect good practice cryptography appropriate property technology 
 operating environment risk usage"
IOT_82,"All external sensing capabilities of the consumer IoT device shall be documented in an accessible way
that is clear and transparent for the user.","external sense capability consumer iot device shall document accessible way 
 clear transparent user"
IOT_83,"Resilience should be built in to consumer IoT products, taking into account the possibility of outages of
data networks and power.","resilience build consumer iot product take account possibility outage 
 data network power"
IOT_84,"Consumer IoT devices should remain operating and locally functional in the case of a loss of network
access and should recover cleanly in the case of restoration of a loss of power.","consumer iot device remain operate locally functional case loss network 
 access recover cleanly case restoration loss power"
IOT_85,"The consumer IoT device should connect to networks in an expected, operational and stable state and
in an orderly fashion, taking the capability of the infrastructure into consideration.","consumer iot device connect network expect operational stable state 
 orderly fashion take capability infrastructure consideration"
IOT_86,"If telemetry data is collected from consumer IoT products, such as usage and measurement data, it
should be examined for security anomalies.","telemetry datum collect consumer iot product usage measurement datum 
 examine security anomaly"
IOT_87,"Deleting personal data ""easily"" means that minimal steps are required to complete that action that each involve minimal
complexity.","delete personal datum easily mean minimal step require complete action involve minimal 
 complexity"
IOT_88,"Users shall be provided with functionality such that all their user data can be erased from the
consumer IoT device in a simple manner.","user shall provide functionality user datum erase 
 consumer iot device simple manner"
IOT_89,"The consumer should be provided with functionality on the consumer IoT device such that personal
data can be deleted from associated services in a simple manner.","consumer provide functionality consumer iot device personal 
 datum delete associated service simple manner"
IOT_90,"Users should be given clear instructions on how to delete and where possible to erase their personal
data from the device and associated services.","user give clear instruction delete possible erase personal 
 datum device associate service"
IOT_91,"Users should be provided with clear confirmation that personal data has been deleted and where
possible erased from devices and associated services.","user provide clear confirmation personal datum delete 
 possible erase device associated service"
IOT_92,"Installation and maintenance of consumer IoT should involve minimal decisions by the user and
should follow security best practice on usability.","installation maintenance consumer iot involve minimal decision user 
 follow security good practice usability"
IOT_93,"The manufacturer should provide users with guidance on how to securely set up their consumer IoT
device.","manufacturer provide user guidance securely set consumer iot 
 device"
IOT_94,"The manufacturer should provide users with guidance on how to check whether their consumer IoT
device is securely set up and maintained in a secure state.","manufacturer provide user guidance check consumer iot 
 device securely set maintain secure state"
IOT_95,"A Data input at application layer to the device via user interfaces shall be validated by the device
regarding unexpected data input to prevent system manipulations and failures.","data input application layer device user interface shall validate device 
 unexpected datum input prevent system manipulation failure"
IOT_96,"B Data input at application layer to the device via network interfaces shall be validated by the device
regarding unexpected data input to prevent system manipulations and failures.","b data input application layer device network interface shall validate device 
 unexpected datum input prevent system manipulation failure"
IOT_97,"Provision 6-1 The manufacturer shall provide consumers with clear and transparent information about what personal
data is processed and for what purposes, by whom, and for how long, for each consumer IoT device and associated
service.","provision 6 1 manufacturer shall provide consumer clear transparent information personal 
 datum process purpose long consumer iot device associate 
 service"
IOT_98,"Provision 6-2 Where personal data will be processed on the basis of consumers' consent, the consumer IoT device shall
provide a means to acquire this consent in a valid way.","provision 6 2 personal datum process basis consumer consent consumer iot device shall 
 provide means acquire consent valid way"
IOT_99,"Provision 6-3A Where personal data will be processed on the basis of consumers' consent, the consumer IoT device
shall provide a means to withdraw this consent at any time.","provision 6 3a personal datum process basis consumer consent consumer iot device 
 shall provide means withdraw consent time"
IOT_100,"Provision 6-3B Where personal data will be processed on the basis of consumers' consent, the consumer IoT device
shall provide a means of storing information about this consent.","provision 6 3b personal datum process basis consumer consent consumer iot device 
 shall provide means store information consent"
IOT_101,"Provision 6-4 If telemetry data is collected from consumer IoT products, the processing of personal data should be
limited to that which is necessary for the intended functionality identified in provision 6-5.","provision 6 4 telemetry datum collect consumer iot product processing personal datum 
 limit necessary intend functionality identify provision 6 5"
IOT_102,"Provision 6-5 If telemetry data is collected from consumer IoT products, consumers shall be provided with information
on what telemetry data is collected, how it is being used, by whom, and for what purposes.","provision 6 5 telemetry datum collect consumer iot product consumer shall provide information 
 telemetry datum collect purpose"
IOT_103,"Provision 6-6 Data stored and processed on a consumer IoT device, or made available to an associated service by the
consumer IoT device, for purposes identified in provision 6-1 shall be limited to that which is necessary for the purpose
for which it is being collected or processed, and deleted once no longer necessary for any of the purposes identified.","provision 6 6 datum store process consumer iot device available associated service 
 consumer iot device purpose identify provision 6 1 shall limit necessary purpose 
 collect process delete long necessary purpose identify"
IOT_104,"Provision 6-7 When the purpose of data collection from consumer IoT devices, or processing on the consumer IoT
device, is solely to compute an aggregate result, the data collected should be the minimum required to compute the
aggregate, the aggregation should happen as early as possible, and the retention of both collected data and the resulting
aggregate should be minimized.","provision 6 7 purpose datum collection consumer iot device process consumer iot 
 device solely compute aggregate result datum collect minimum require compute 
 aggregate aggregation happen early possible retention collect datum result 
 aggregate minimize"
IOT_105,"Provision 6-8 Data anonymization technologies should be used to protect privacy during data collection, processing
and storage.","provision 6 8 datum anonymization technology protect privacy data collection processing 
 storage"
IOT_106,"The existence of the feature,
capability or mechanism is not determined to be mandatory/recommended by the provision.","existence feature 
 capability mechanism determined mandatory recommend provision"
