id,requirement,clean
IOT_1,"The content of any electronic and/or
print versions of the present document shall not be modified without the prior written authorization of ETSI.","content electronic and/or 
 print version present document shall modify prior write authorization etsi"
IOT_2,"Users should be aware that the present document may be revised or have its status changed,
this information is available in the Milestones listing.","user aware present document revise status change 
 information available milestone list"
IOT_3,No recommendation as to products and services or vendors is made or should be implied.,recommendation product service vendor imply
IOT_4,In no event shall ETSI be held liable for loss of profits or any other incidental or consequential damages.,event shall etsi hold liable loss profit incidental consequential damage
IOT_5,"Any software contained in this deliverable is provided ""AS IS"" with no warranties, express or implied, including but not
limited to, the warranties of merchantability, fitness for a particular purpose and non-infringement of intellectual property
rights and ETSI shall not be held liable in any event for any damages whatsoever (including, without limitation, damages
for loss of profits, business interruption, loss of information, or any other pecuniary loss) arising out of or related to the use
of or inability to use the software.","software contain deliverable provide warranty express imply include 
 limit warranty merchantability fitness particular purpose non infringement intellectual property 
 right etsi shall hold liable event damage whatsoever include limitation damage 
 loss profit business interruption loss information pecuniary loss arise relate use 
 inability use software"
IOT_6,The content of the PDF version shall not be modified without the written authorization of ETSI.,content pdf version shall modify write authorization etsi
IOT_7,"National transposition dates
Date of adoption of this EN: 11 September 2024
Date of latest announcement of this EN (doa): 31 December 2024
Date of latest publication of new National Standard
or endorsement of this EN (dop/e): 30 June 2025
Date of withdrawal of any conflicting National Standard (dow): 30 June 2025
Modal verbs terminology
In the present document ""shall"", ""shall not"", ""should"", ""should not"", ""may"", ""need not"", ""will"", ""will not"", ""can"" and
""cannot"" are to be interpreted as described in clause 3.","national transposition date 
 date adoption en 11 september 2024 
 date late announcement en doa 31 december 2024 
 date late publication new national standard 
 endorsement en dop e 30 june 2025 
 date withdrawal conflict national standard dow 30 june 2025 
 modal verb terminology 
 present document shall shall need 
 interpret describe clause 3"
IOT_8,"must"" and ""must not"" are NOT allowed in ETSI deliverables except when used in direct citation.",allow etsi deliverable direct citation
IOT_9,"Terms
For the purposes of the present document, the following terms apply:
administrator: user who has the highest-privilege level possible for a user of the device, which can mean they are able
to change any configuration related to the intended functionality
associated services: digital services that, together with the device, are part of the overall consumer IoT product and that
are typically required to provide the product's intended functionality
EXAMPLE 1: Associated services can include mobile applications, cloud computing/storage and third party
Application Programming Interfaces (APIs).","term 
 purpose present document following term apply 
 administrator user high privilege level possible user device mean able 
 change configuration relate intended functionality 
 associate service digital service device overall consumer iot product 
 typically require provide product intend functionality 
 example 1 associate service include mobile application cloud computing storage party 
 application programming interface apis"
IOT_10,"In all cases, security, data protection and privacy by design and by default
should be used to inform the product development process, following risk assessment, but that is out of scope of the
present document.","case security datum protection privacy design default 
 inform product development process follow risk assessment scope 
 present document"
IOT_11,"The present document provides a
degree of flexibility through the use of non-mandatory ""should"" provisions (recommendations).","present document provide 
 degree flexibility use non mandatory provision recommendation"
IOT_12,"Testing and certification involving third party assessment is likely to require documentation, including architectural
design documentation, security requirements capture and analysis, threat models and environmental assumptions, policy
documentation for lifecycle management (including supply chain management), assessment certificates for any
components that are used to implement functionality required in the present document.","testing certification involve party assessment likely require documentation include architectural 
 design documentation security requirement capture analysis threat model environmental assumption policy 
 documentation lifecycle management include supply chain management assessment certificate 
 component implement functionality require present document"
IOT_13,"A justification shall be recorded for each recommendation in the present document that is considered to
be not applicable for or not fulfilled by the consumer IoT device.","justification shall record recommendation present document consider 
 applicable fulfil consumer iot device"
IOT_14,"It is recommended that the manufacturer conducts a threat modelling to identify, analyse and mitigate threats to the
device.","recommend manufacturer conduct threat modelling identify analyse mitigate threat 
 device"
IOT_15,"EXAMPLE 3: The consumer IoT device and associated service processes payments and is therefore required to
comply with the payment card industry specifications and for transaction processing and industry
and regulatory requirements for fraud monitoring.","example 3 consumer iot device associate service process payment require 
 comply payment card industry specification transaction processing industry 
 regulatory requirement fraud monitoring"
IOT_16,"Where passwords are used to authenticate users against the device or for machine-to-machine
authentication, and in any state other than the factory default, all consumer IoT device passwords shall be unique per
device or defined by the user.","password authenticate user device machine machine 
 authentication state factory default consumer iot device password shall unique 
 device define user"
IOT_17,"Where pre-installed unique per device passwords are used to authenticate users against the device or
for machine-to-machine authentication, these shall be generated with a mechanism that reduces the risk of automated
attacks against a class or type of consumer IoT device.","pre installed unique device password authenticate user device 
 machine machine authentication shall generate mechanism reduce risk automate 
 attack class type consumer iot device"
IOT_18,A Passwords should not be used for machine-to-machine authentication.,password machine machine authentication
IOT_19,"Authentication mechanisms used to authenticate users against the consumer IoT device or used for
machine-to-machine authentication shall use best practice cryptography, appropriate to the properties of the technology,
operating environment, risk and usage.","authentication mechanism authenticate user consumer iot device 
 machine machine authentication shall use good practice cryptography appropriate property technology 
 operating environment risk usage"
IOT_20,"Where a user can authenticate against a consumer IoT device, the consumer IoT device shall provide to
the user or an administrator a simple mechanism to change the authentication value used.","user authenticate consumer iot device consumer iot device shall provide 
 user administrator simple mechanism change authentication value"
IOT_21,"The consumer IoT device shall have a mechanism available which makes successful brute-force attacks
on authentication mechanisms via network interfaces impracticable unless the device has a resource constraint
determined by the use case that prevents the implementation.","consumer iot device shall mechanism available make successful brute force attack 
 authentication mechanism network interface impracticable device resource constraint 
 determine use case prevent implementation"
IOT_22,The manufacturer shall make a vulnerability disclosure policy publicly available.,manufacturer shall vulnerability disclosure policy publicly available
IOT_23,"This policy shall
include, at a minimum:
• contact information for the reporting of issues; and
• timelines for initial acknowledgement of receipt of a vulnerability report; and
• timelines for when the person who reported the issue will receive status updates until the resolution of the
reported issues.","policy shall 
 include minimum 
 contact information reporting issue 
 timeline initial acknowledgement receipt vulnerability report 
 timeline person report issue receive status update resolution 
 report issue"
IOT_24,Disclosed vulnerabilities should be acted on in a timely manner.,disclose vulnerability act timely manner
IOT_25,"Manufacturers should continually monitor for, identify and rectify security vulnerabilities within
consumer IoT products they sell, produce, have produced and associated services they operate during the defined
support period.","manufacturer continually monitor identify rectify security vulnerability 
 consumer iot product sell produce produce associate service operate define 
 support period"
IOT_26,"All software components in consumer IoT devices that are not immutable due to security reasons
should be securely updateable.","software component consumer iot device immutable security reason 
 securely updateable"
IOT_27,"The consumer IoT device shall have a secure update mechanism unless the device has a resource
constraint determined by the use case that prevents the implementation.","consumer iot device shall secure update mechanism device resource 
 constraint determine use case prevent implementation"
IOT_28,An update shall be simple for the user to apply.,update shall simple user apply
IOT_29,A One secure update mechanism should be configurable to be automated.,secure update mechanism configurable automate
IOT_30,"B During initialization the consumer IoT device should activate an automatic secure update mechanism
after user's consent.","b initialization consumer iot device activate automatic secure update mechanism 
 user consent"
IOT_31,"The consumer IoT device or an associated service should check after initialization whether security
updates are available.","consumer iot device associated service check initialization security 
 update available"
IOT_32,"A If the consumer IoT device supports automated updates, the user should be able to enable and disable
the automatic update mechanism and postpone the installation of updates provided via an automatic update mechanism.","consumer iot device support automate update user able enable disable 
 automatic update mechanism postpone installation update provide automatic update mechanism"
IOT_33,"B If the consumer IoT device supports update notifications, the user should be able to enable and
disable the update notifications.","b consumer iot device support update notification user able enable 
 disable update notification"
IOT_34,The consumer IoT device shall use best practice cryptography to facilitate secure update mechanisms.,consumer iot device shall use good practice cryptography facilitate secure update mechanism
IOT_35,Security updates shall be timely.,security update shall timely
IOT_36,The consumer IoT device should verify the authenticity and integrity of software updates.,consumer iot device verify authenticity integrity software update
IOT_37,"Where updates are delivered over a network interface, the consumer IoT device shall verify the
authenticity and integrity of each update via a trust relationship.","update deliver network interface consumer iot device shall verify 
 authenticity integrity update trust relationship"
