src_id,tgt_id,bge_score,predicted_rel
5.6-7,5.2.4-1.1,0.6094,COMPLEMENTARITY
5.3-11,5.4.1-3,0.6094,COMPLEMENTARITY
5.3-4B,5.2.4-3,0.6094,COMPLEMENTARITY
5.3-7,5.3.1-2.2,0.6093,COMPLEMENTARITY
5.3-5,5.2.4-1.2,0.609,COMPLEMENTARITY
5.5-2,5.1.3-1.2,0.609,COMPLEMENTARITY
5.2-2,5.4.1-1.1,0.6089,COMPLEMENTARITY
5.3-5,5.1.3-4,0.6089,COMPLEMENTARITY
5.2-1,5.2.2-2,0.6088,COMPLEMENTARITY
5.0-1,5.2.3-2.1,0.6087,COMPLEMENTARITY
5.3-10,5.1.2-5,0.6087,COMPLEMENTARITY
